0	2.331772	2.368961	2.440239	2.514114	2.247639	2.487946
1	2.410431	2.289539	2.437569	2.50946	2.235813	2.511139
2	2.503891	2.184635	2.450157	2.503357	2.220173	2.492447
3	2.434464	2.151218	2.450539	2.483978	2.238407	2.499008
4	2.474289	2.158161	2.43856	2.481842	2.271672	2.504654
5	2.516785	2.214771	2.443138	2.459183	2.324391	2.542496
6	2.608566	2.277866	2.439323	2.453842	2.393284	2.586288
7	2.663422	2.282978	2.436424	2.500229	2.325382	2.522964
8	2.632141	2.272525	2.438484	2.509537	2.267475	2.470856
9	2.625961	2.251621	2.437798	2.505493	2.262898	2.440796
10	2.627792	2.280078	2.432533	2.510757	2.259846	2.404404
11	2.606735	2.328601	2.43734	2.518387	2.259617	2.386627
12	2.604523	2.310367	2.437798	2.517014	2.25153	2.371979
13	2.606888	2.265506	2.440544	2.511673	2.257023	2.37114
14	2.607498	2.234531	2.436272	2.507629	2.278233	2.400742
15	2.581711	2.33028	2.44062	2.500229	2.314167	2.454758
16	2.53418	2.411533	2.43383	2.491531	2.318821	2.610474
17	2.498856	2.442432	2.438332	2.496719	2.292881	2.577133
18	2.483902	2.436252	2.438713	2.507706	2.229252	2.541351
19	2.410965	2.471347	2.453514	2.510071	2.192631	2.509842
20	2.354126	2.504688	2.454964	2.509308	2.229939	2.598343
21	2.361832	2.533985	2.447182	2.511063	2.259083	2.53479
22	2.360611	2.537952	2.437263	2.488861	2.34232	2.540054
23	2.559357	2.501789	2.425743	2.47757	2.412739	2.441788
24	2.750092	2.463565	2.406975	2.464447	2.351399	2.920685
25	2.481766	2.459674	2.413841	2.491074	2.347126	2.779922
26	2.326965	2.470813	2.41819	2.509918	2.347508	2.568207
27	2.287369	2.446247	2.403389	2.493515	2.258625	2.404633
28	2.360306	2.401767	2.419106	2.509918	2.243977	2.47818
29	2.475662	2.352558	2.442223	2.525787	2.2365	2.463837
30	2.696457	2.298618	2.459312	2.543106	2.220555	2.452469
31	2.718124	2.285419	2.482887	2.54158	2.227116	2.442093
32	2.639542	2.257648	2.483116	2.528076	2.231999	2.460938
33	2.543488	2.259021	2.468849	2.515411	2.246037	2.472916
34	2.650833	2.252918	2.449318	2.506943	2.251225	2.471695
35	2.569199	2.276264	2.436958	2.504349	2.249623	2.462311
36	2.547989	2.329898	2.44825	2.507401	2.24596	2.4617
37	2.516937	2.374378	2.441689	2.507019	2.240238	2.455521
38	2.499695	2.382083	2.445427	2.502365	2.240391	2.460175
39	2.45018	2.417865	2.446953	2.50061	2.238178	2.467651
40	2.458191	2.423892	2.447792	2.495575	2.247029	2.486115
41	2.486877	2.428775	2.436424	2.490997	2.31699	2.517853
42	2.5177	2.439609	2.436119	2.494125	2.304173	2.520218
43	2.532196	2.458377	2.426888	2.496109	2.300358	2.512054
44	2.520447	2.443729	2.426201	2.501678	2.281437	2.481842
45	2.516708	2.449756	2.434593	2.507172	2.261753	2.492218
46	2.515259	2.432819	2.421165	2.516861	2.251072	2.514877
47	2.511139	2.427936	2.436272	2.528763	2.246342	2.488556
48	2.493591	2.443119	2.437111	2.544708	2.174473	2.445908
49	2.479172	2.475238	2.437798	2.533722	2.14365	2.442856
50	2.455063	2.455936	2.434059	2.513275	2.164326	2.574539
